book_id,title,fantasy,classic,non_fiction,young_adult,fiction,adult,mystery,romance,children,author,year,rating,image_url
26,The Lost Continent: Travels in Small Town America,0,0,1,0,0,1,0,0,0,Bill Bryson,1989,3.83,https://images.gr-assets.com/books/1404042682m/26.jpg
27,Neither Here nor There: Travels in Europe,0,0,1,0,0,1,0,0,0,Bill Bryson,1991,3.88,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
28,Notes from a Small Island,0,0,1,0,0,1,0,0,0,Bill Bryson,1995,3.91,https://images.gr-assets.com/books/1479653223m/28.jpg
29,The Mother Tongue: English and How It Got That Way,0,0,1,0,0,1,0,0,0,Bill Bryson,1990,3.95,https://images.gr-assets.com/books/1388209925m/29.jpg
30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,1,1,0,1,1,1,0,0,1,J.R.R. Tolkien,1973,4.59,https://images.gr-assets.com/books/1346072396m/30.jpg
33,"The Lord of the Rings (The Lord of the Rings, #1-3)",1,1,0,1,1,1,0,0,0,J.R.R. Tolkien,1955,4.47,https://images.gr-assets.com/books/1411114164m/33.jpg
34,"The Fellowship of the Ring (The Lord of the Rings, #1)",1,1,0,1,1,1,0,0,0,J.R.R. Tolkien,1954,4.34,https://images.gr-assets.com/books/1298411339m/34.jpg
36,The Lord of the Rings: Weapons and Warfare,1,1,0,1,1,1,0,0,0,Richard Taylor,2003,4.53,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388290346l/36.jpg
36,The Lord of the Rings: Weapons and Warfare,1,1,0,1,1,1,0,0,0,Christopher Lee,2003,4.53,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388290346l/36.jpg
36,The Lord of the Rings: Weapons and Warfare,1,1,0,1,1,1,0,0,0,Chris Smith,2003,4.53,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388290346l/36.jpg
50,"Hatchet (Brian's Saga, #1)",0,0,0,1,1,0,1,0,0,Gary Paulsen,1986,3.68,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1385297074l/50.jpg
67,The Known World,0,1,1,0,0,1,0,0,0,Edward P. Jones,2003,3.82,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1538134660l/67._SY475_.jpg
93,Heidi,0,1,0,0,1,0,0,0,0,Johanna Spyri,1880,3.97,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388462714l/93.jpg
105,Chapterhouse: Dune (Dune Chronicles #6),0,1,0,1,1,1,1,0,0,Frank Herbert,1985,3.89,https://images.gr-assets.com/books/1260954505m/105.jpg
106,Dune Messiah (Dune Chronicles #2),0,1,0,1,1,1,1,0,0,Frank Herbert,1969,3.86,https://images.gr-assets.com/books/1392528394m/106.jpg
112,Children of Dune (Dune Chronicles #3),0,1,0,1,1,1,1,0,0,Frank Herbert,1976,3.9,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1564783201l/44492286.jpg
117,Heretics of Dune (Dune Chronicles #5),0,1,0,1,1,1,1,0,0,Frank Herbert,1984,3.83,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1564027750l/44492287._SY475_.jpg
119,The Lord of the Rings: The Art of The Fellowship of the Ring,1,1,0,1,1,1,0,0,0,Gary Russell,2002,4.59,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347803870l/119.jpg
122,"The Power of One (The Power of One, #1)",0,1,0,1,1,1,0,0,0,Bryce Courtenay,1989,4.34,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388184360l/122.jpg
264,The Portrait of a Lady,0,1,0,1,1,1,0,0,0,Henry James,1881,3.76,https://images.gr-assets.com/books/1502148606m/264.jpg
275,The Lover,0,1,0,0,1,1,0,1,0,Marguerite Duras,1984,3.76,https://images.gr-assets.com/books/1423329337m/275.jpg
295,Treasure Island,0,1,0,1,1,0,0,0,1,Robert Louis Stevenson,1882,3.82,https://images.gr-assets.com/books/1485248909m/295.jpg
304,Daniel Deronda,0,1,0,0,1,0,0,0,0,George Eliot,1876,3.82,https://images.gr-assets.com/books/1320432000m/304.jpg
348,The Door Into Summer,0,1,0,1,1,1,0,0,0,Robert A. Heinlein,1957,4,https://images.gr-assets.com/books/1342241886m/348.jpg
350,Stranger in a Strange Land,0,1,0,1,1,1,0,0,0,Robert A. Heinlein,1961,3.91,https://images.gr-assets.com/books/1156897088m/350.jpg
353,Time Enough for Love,0,1,1,1,1,1,0,1,0,Robert A. Heinlein,1973,3.96,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1218664355l/353.jpg
355,Job: A Comedy of Justice,1,0,0,1,1,1,0,0,0,Robert A. Heinlein,1984,3.77,https://images.gr-assets.com/books/1438043968m/355.jpg
357,"The Long Dark Tea-Time of the Soul (Dirk Gently, #2)",1,0,0,1,1,1,1,0,1,Douglas Adams,1988,4.05,https://images.gr-assets.com/books/1388257271m/357.jpg
359,"The Salmon of Doubt (Dirk Gently, #3)",1,0,0,1,1,1,1,0,1,Douglas Adams,2002,3.92,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388273676l/359.jpg
360,"Mostly Harmless (Hitchhiker's Guide to the Galaxy, #5)",1,0,0,1,1,1,1,0,1,Douglas Adams,1992,3.96,https://images.gr-assets.com/books/1320725132m/360.jpg
365,Dirk Gently's Holistic Detective Agency (Dirk Gently #1),1,0,0,1,1,1,1,0,1,Douglas Adams,1987,3.97,https://images.gr-assets.com/books/1404697381m/365.jpg
378,The Phantom Tollbooth,1,1,0,1,1,0,0,0,1,Norton Juster,1961,4.22,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1558858485l/378._SX318_.jpg
415,Gravity's Rainbow,0,1,0,0,1,1,0,0,0,Thomas Pynchon,1973,4.03,https://images.gr-assets.com/books/1414969925m/415.jpg
431,The New York Trilogy,0,1,0,1,1,1,1,0,0,Paul Auster,1987,3.92,https://images.gr-assets.com/books/1386924429m/431.jpg
432,"City of Glass (The New York Trilogy, #1)",0,1,0,1,1,1,1,0,0,Paul Auster,1985,3.81,https://images.gr-assets.com/books/1309986722m/432.jpg
446,The Brooklyn Follies,0,1,0,1,1,1,1,0,0,Paul Auster,2005,3.81,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388285831l/446.jpg
456,Leviathan,0,0,0,0,1,1,1,0,0,Paul Auster,1992,3.95,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388371291l/456.jpg
475,Collapse: How Societies Choose to Fail or Succeed,0,0,1,0,0,1,0,0,0,Jared Diamond,2004,3.92,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1441419222l/475._SY475_.jpg
621,The Automatic Millionaire: A Powerful One-Step Plan to Live and Finish Rich,0,0,1,0,0,1,0,0,0,David Bach,2003,3.9,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1436792430l/621._SY475_.jpg
629,Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values,0,0,1,0,0,1,0,0,0,Robert M. Pirsig,1974,3.76,https://images.gr-assets.com/books/1410136019m/629.jpg
647,No Logo,0,0,1,0,0,1,0,0,0,Naomi Klein,1999,3.86,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1441567914l/647._SY475_.jpg
656,War and Peace,0,1,0,0,1,1,1,1,0,Leo Tolstoy,1869,4.11,https://images.gr-assets.com/books/1413215930m/656.jpg
662,Atlas Shrugged,0,1,0,0,1,1,1,1,0,Ayn Rand,1957,3.68,https://images.gr-assets.com/books/1405868167m/662.jpg
667,Anthem,0,1,0,0,1,1,1,0,0,Ayn Rand,1938,3.62,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388190459l/667.jpg
668,We the Living,0,1,0,0,1,1,0,0,0,Ayn Rand,1936,3.89,https://images.gr-assets.com/books/1306188481m/668.jpg
706,America (The Book): A Citizen's Guide to Democracy Inaction,0,0,1,0,0,1,0,0,0,Jon Stewart,2004,4.02,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1157224104l/706._SX318_.jpg
816,Cryptonomicon,0,0,1,1,1,1,1,0,0,Neal Stephenson,1999,4.25,https://images.gr-assets.com/books/1327931476m/816.jpg
822,"The Confusion (The Baroque Cycle, #2)",0,0,1,1,1,1,1,0,0,Neal Stephenson,2004,4.24,https://images.gr-assets.com/books/1407706997m/822.jpg
823,"Quicksilver (The Baroque Cycle, #1)",0,0,1,1,1,1,1,0,0,Neal Stephenson,2003,3.92,https://images.gr-assets.com/books/1377095669m/823.jpg
825,Zodiac,0,0,1,1,1,1,1,0,0,Neal Stephenson,1988,3.7,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388964748l/825.jpg
827,"The Diamond Age: or, A Young Lady's Illustrated Primer",0,0,1,1,1,1,1,0,0,Neal Stephenson,1995,4.19,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388180931l/827.jpg
830,Snow Crash,0,0,1,1,1,1,1,0,0,Neal Stephenson,1992,4.02,https://images.gr-assets.com/books/1477624625m/830.jpg
865,The Alchemist,1,0,0,1,1,1,0,0,0,Paulo Coelho,1988,3.82,https://images.gr-assets.com/books/1483412266m/865.jpg
880,Pompeii,0,1,0,1,1,1,0,0,0,Robert   Harris,2003,3.79,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388189565l/880.jpg
890,Of Mice and Men,0,1,0,0,1,1,0,0,0,John Steinbeck,1937,3.84,https://images.gr-assets.com/books/1437235233m/890.jpg
902,The Westing Game,0,1,0,1,1,0,1,0,1,Ellen Raskin,1978,4.03,https://images.gr-assets.com/books/1356850909m/902.jpg
960,"Angels & Demons  (Robert Langdon, #1)",0,0,0,1,1,1,1,0,0,Dan Brown,2000,3.85,https://images.gr-assets.com/books/1303390735m/960.jpg
968,"The Da Vinci Code (Robert Langdon, #2)",0,0,0,1,1,1,1,0,0,Dan Brown,2003,3.79,https://images.gr-assets.com/books/1303252999m/968.jpg
976,Deception Point,0,0,0,1,1,1,1,0,0,Dan Brown,2001,3.67,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1551277487l/976._SY475_.jpg
998,The Millionaire Next Door: The Surprising Secrets of Americas Wealthy,0,0,1,0,0,1,0,0,0,Thomas J. Stanley,1995,4,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348313018l/998.jpg
1005,Think and Grow Rich: The Landmark Bestseller - Now Revised and Updated for the 21st Century,0,0,1,0,0,1,0,0,0,Napoleon Hill,1937,4.17,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388177008l/1005.jpg
1032,Trump: The Art of the Deal,0,0,1,0,0,1,0,0,0,Donald J. Trump,1987,3.66,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442705949l/1032._SY475_.jpg
1052,The Richest Man in Babylon,0,0,1,0,0,1,0,0,0,George S. Clason,1926,4.23,https://images.gr-assets.com/books/1348336780m/1052.jpg
1097,Fast Food Nation: The Dark Side of the All-American Meal,0,0,1,0,0,1,0,0,0,Eric Schlosser,2001,3.73,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1554229727l/1097._SY475_.jpg
1103,Snow Flower and the Secret Fan,0,0,0,1,1,1,0,0,0,Lisa See,2005,4.05,https://images.gr-assets.com/books/1327880508m/1103.jpg
1110,The Broker,0,0,0,1,1,1,1,0,0,John Grisham,2005,3.77,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386924342l/1110.jpg
1202,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)",0,0,1,0,0,1,0,0,0,Steven D. Levitt,2005,3.93,https://images.gr-assets.com/books/1327909092m/1202.jpg
1232,"The Shadow of the Wind (The Cemetery of Forgotten Books,  #1)",1,0,0,1,1,1,1,0,0,Lucia Graves,2001,4.24,https://images.gr-assets.com/books/1344545047m/1232.jpg
1301,Moneyball: The Art of Winning an Unfair Game,0,0,1,0,0,1,0,0,0,Michael   Lewis,2003,4.24,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388176510l/1301.jpg
1303,The 48 Laws of Power,0,0,1,0,0,1,0,0,0,Robert Greene,1988,4.18,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1385228992l/1303.jpg
1305,Gates of Fire: An Epic Novel of the Battle of Thermopylae,0,0,0,1,1,1,0,0,0,Steven Pressfield,1998,4.4,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1379944788l/118040.jpg
1307,"Fire Sea (The Death Gate Cycle, #3)",0,0,0,1,1,1,0,0,0,Margaret Weis,1991,4.05,https://images.gr-assets.com/books/1325422748m/1307.jpg
1307,"Fire Sea (The Death Gate Cycle, #3)",0,0,0,1,1,1,0,0,0,Tracy Hickman,1991,4.05,https://images.gr-assets.com/books/1325422748m/1307.jpg
1371,The Iliad,1,1,0,0,1,1,0,0,0,Homer,-750,3.83,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388188509l/1371.jpg
1375,The Iliad/The Odyssey,1,1,0,0,1,1,0,0,0,Homer,-762,4.03,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388181863l/1375.jpg
1381,The Odyssey,1,1,0,0,1,1,0,0,0,Homer,-720,3.73,https://images.gr-assets.com/books/1390173285m/1381.jpg
1420,Hamlet,1,1,0,1,1,1,1,0,1,William Shakespeare,1600,4,https://images.gr-assets.com/books/1351051208m/1420.jpg
1426,Warrior of the Light,0,0,0,1,1,1,0,0,0,Paulo Coelho,1997,3.69,https://images.gr-assets.com/books/1359135200m/1426.jpg
1427,The Zahir,0,0,0,1,1,1,0,0,0,Paulo Coelho,2005,3.56,https://images.gr-assets.com/books/1493044059m/1427.jpg
1428,By the River Piedra I Sat Down and Wept,0,0,0,1,1,1,0,0,0,Paulo Coelho,1994,3.57,https://images.gr-assets.com/books/1466877798m/1428.jpg
1430,Eleven Minutes,0,0,0,1,1,1,0,0,0,Paulo Coelho,2003,3.69,https://images.gr-assets.com/books/1358266987m/1430.jpg
1431,Veronika Decides to Die,0,0,0,1,1,1,0,0,0,Paulo Coelho,1998,3.69,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348139939l/1431.jpg
1622,A Midsummer Night's Dream,1,1,0,1,1,1,0,1,0,William Shakespeare,1595,3.94,https://images.gr-assets.com/books/1327874534m/1622.jpg
1625,Twelfth Night,1,1,0,1,1,1,0,1,0,William Shakespeare,1601,3.97,https://images.gr-assets.com/books/1416628008m/1625.jpg
1627,Brokeback Mountain,0,1,0,0,1,1,0,1,0,Annie Proulx,1997,3.93,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442919969l/1627._SY475_.jpg
1885,Pride and Prejudice,0,1,0,1,1,1,0,1,0,Jane Austen,1813,4.24,https://images.gr-assets.com/books/1320399351m/1885.jpg
1911,The World Is Flat: A Brief History of the Twenty-first Century,0,0,1,0,0,1,0,0,0,Thomas L. Friedman,2005,3.66,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442191453l/1911._SY475_.jpg
1934,"Little Women (Little Women, #1)",0,1,0,1,1,1,0,1,0,Louisa May Alcott,1868,4.04,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1434724824l/21470612._SY475_.jpg
1953,A Tale of Two Cities,0,1,0,1,1,1,0,1,0,Charles Dickens,1859,3.81,https://images.gr-assets.com/books/1344922523m/1953.jpg
1990,Martin Chuzzlewit,0,1,0,0,1,1,0,0,0,Charles Dickens,1844,3.82,https://images.gr-assets.com/books/1334392783m/1990.jpg
2002,Harry Potter Schoolbooks Box Set: Two Classic Books from the Library of Hogwarts School of Witchcraft and Wizardry,1,0,0,1,1,0,0,0,1,J.K. Rowling,2001,4.4,https://images.gr-assets.com/books/1479775271m/2002.jpg
2049,"The High Window (Philip Marlowe, #3)",0,0,0,1,1,1,1,0,0,Raymond Chandler,1942,4.08,https://images.gr-assets.com/books/1466754245m/2049.jpg
2050,"Farewell, My Lovely (Philip Marlowe, #2)",0,0,0,1,1,1,1,0,0,Raymond Chandler,1940,4.17,https://images.gr-assets.com/books/1465778099m/2050.jpg
2052,"The Big Sleep (Philip Marlowe, #1)",0,0,0,1,1,1,1,0,0,Raymond Chandler,1939,4.04,https://images.gr-assets.com/books/1371584712m/2052.jpg
2054,"The Long Goodbye (Philip Marlowe, #6)",0,0,0,1,1,1,1,0,0,Raymond Chandler,1953,4.23,https://images.gr-assets.com/books/1388225584m/2054.jpg
2094,A Briefer History of Time,0,0,1,0,0,1,0,0,0,Stephen Hawking,2005,4.19,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386924782l/2094.jpg
2095,The Universe in a Nutshell,0,0,1,0,0,1,0,0,0,Stephen Hawking,2001,4.13,https://images.gr-assets.com/books/1159814395m/2095.jpg
2122,The Fountainhead,0,1,0,0,1,1,1,1,0,Ayn Rand,1943,3.85,https://images.gr-assets.com/books/1491163636m/2122.jpg
2137,A Home at the End of the World,0,0,0,1,1,1,0,1,0,Michael Cunningham,1990,3.89,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442779849l/2137.jpg
2152,The Jane Austen Book Club,0,0,0,1,1,1,0,1,0,Karen Joy Fowler,2004,3.07,https://images.gr-assets.com/books/1309282966m/2152.jpg
2156,Persuasion,0,1,0,1,1,1,0,1,0,Jane Austen,1817,4.13,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1385172413l/2156.jpg
2165,The Old Man and the Sea,0,1,0,0,1,1,0,0,0,Ernest Hemingway,1952,3.73,https://images.gr-assets.com/books/1329189714m/2165.jpg
2175,Madame Bovary,0,0,0,1,1,1,0,1,0,Gustave Flaubert,1856,3.64,https://images.gr-assets.com/books/1335676143m/2175.jpg
2183,Sentimental Education,0,0,0,1,1,1,0,1,0,Gustave Flaubert,1869,3.83,https://images.gr-assets.com/books/1327788473m/2183.jpg
2187,Middlesex,0,0,0,1,1,1,0,0,0,Jeffrey Eugenides,2002,3.98,https://images.gr-assets.com/books/1437029776m/2187.jpg
2265,It's Not About the Bike: My Journey Back to Life,0,0,1,0,0,1,0,0,0,Lance Armstrong,1999,3.72,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1433639489l/2265._SY475_.jpg
2373,"The Bone Collector (Lincoln Rhyme, #1)",0,0,0,1,1,1,1,0,0,Jeffery Deaver,1997,4.18,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1437538512l/2373._SY475_.jpg
2442,"Witches Abroad (Discworld, #12; Witches #3)",1,0,0,1,1,1,0,0,1,Terry Pratchett,1991,4.2,https://images.gr-assets.com/books/1403326937m/2442.jpg
2493,The Time Machine,1,0,0,1,1,1,0,1,1,H.G. Wells,1895,3.87,https://images.gr-assets.com/books/1327942880m/2493.jpg
2623,Great Expectations,0,1,0,0,1,1,0,0,0,Charles Dickens,1860,3.75,https://images.gr-assets.com/books/1327920219m/2623.jpg
2657,To Kill a Mockingbird,0,1,0,1,1,1,0,0,0,Harper Lee,1960,4.25,https://images.gr-assets.com/books/1361975680m/2657.jpg
2744,Anansi Boys,1,0,0,1,1,1,0,0,0,Neil Gaiman,2005,4,https://images.gr-assets.com/books/1479778049m/2744.jpg
2748,Microserfs,0,0,0,0,1,1,0,0,0,Douglas Coupland,1995,3.88,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546099595l/2748.jpg
2794,The Crying of Lot 49,0,0,0,0,1,1,0,0,0,Thomas Pynchon,1966,3.7,https://images.gr-assets.com/books/1375727632m/2794.jpg
2839,Bridge to Terabithia,1,0,0,1,1,0,0,0,1,Katherine Paterson,1977,3.98,https://images.gr-assets.com/books/1327880087m/2839.jpg
2865,Girl with a Pearl Earring,0,0,0,0,1,1,0,0,0,Tracy Chevalier,1999,3.85,https://images.gr-assets.com/books/1327197580m/2865.jpg
2879,"Bleach, Volume 15",0,0,0,1,1,1,1,0,0,Tite Kubo,2004,4.41,https://images.gr-assets.com/books/1417981626m/2879.jpg
2880,"Bleach, Volume 01",0,0,0,1,1,1,1,0,0,Tite Kubo,2002,4.21,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388508611l/2880.jpg
2932,Robinson Crusoe,0,1,0,1,1,1,0,0,1,Daniel Defoe,1719,3.66,https://images.gr-assets.com/books/1403180114m/2932.jpg
2956,The Adventures of Huckleberry Finn,0,1,0,1,1,1,0,0,1,Mark Twain,1884,3.8,https://images.gr-assets.com/books/1405973850m/2956.jpg
2978,Lost Horizon,1,0,0,0,1,1,0,0,0,James Hilton,1933,3.9,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1520611938l/39092290._SY475_.jpg
2998,The Secret Garden,0,1,0,1,1,0,0,0,1,Frances Hodgson Burnett,1911,4.12,https://images.gr-assets.com/books/1327873635m/2998.jpg
3008,A Little Princess,0,0,0,1,1,0,0,0,1,Frances Hodgson Burnett,1905,4.2,https://images.gr-assets.com/books/1327868556m/3008.jpg
3110,Assassination Vacation,0,0,1,0,0,1,1,0,0,Sarah Vowell,2005,3.98,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1440616283l/3110._SY475_.jpg
3379,All Families are Psychotic,0,0,0,1,1,1,0,0,0,Douglas Coupland,2001,3.69,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1405992884l/3379.jpg
3381,Hey Nostradamus!,0,0,0,1,1,1,1,0,0,Douglas Coupland,2003,3.72,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1436978883l/3381._SY475_.jpg
3412,The Thorn Birds,0,0,0,1,1,1,0,1,0,Colleen McCullough,1977,4.22,https://images.gr-assets.com/books/1391416796m/3412.jpg
3462,The Rescue,0,0,0,0,1,1,0,1,0,Nicholas Sparks,2000,4.1,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1385055753l/3462.jpg
3463,A Bend in the Road,0,0,0,0,1,1,0,1,0,Nicholas Sparks,2001,4.02,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388453919l/3463.jpg
3464,True Believer,0,0,0,0,1,1,0,1,0,Nicholas Sparks,2003,3.8,https://images.gr-assets.com/books/1385739017m/3464.jpg
3465,Three Weeks With My Brother,0,0,0,0,1,1,0,1,0,Nicholas Sparks,2004,4.01,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1440179668l/3465._SY475_.jpg
3466,The Wedding,0,0,0,0,1,1,0,1,0,Nicholas Sparks,2003,3.98,https://images.gr-assets.com/books/1385738787m/3466.jpg
3473,A Walk to Remember,0,0,0,0,1,1,0,1,0,Nicholas Sparks,1999,4.15,https://images.gr-assets.com/books/1385738968m/3473.jpg
3478,Message in a Bottle,0,0,0,0,1,1,0,1,0,Nicholas Sparks,1998,3.95,https://images.gr-assets.com/books/1163789140m/3478.jpg
3507,Twelve Sharp ,0,0,0,1,1,1,1,0,0,Janet Evanovich,2006,4.14,https://images.gr-assets.com/books/1316727699m/3507.jpg
3562,Emily of New Moon,0,1,0,1,1,0,0,0,1,L.M. Montgomery,1923,4.09,https://images.gr-assets.com/books/1327883976m/3562.jpg
3581,"Sherlock Holmes: The Complete Novels and Stories, Volume I",0,1,0,0,1,1,1,0,0,Arthur Conan Doyle,1927,4.45,https://images.gr-assets.com/books/1320490450m/3581.jpg
3586,"The Complete Sherlock Holmes, Vol 2",0,1,0,0,1,1,1,0,0,Arthur Conan Doyle,1914,4.46,https://images.gr-assets.com/books/1347663158m/3586.jpg
4671,The Great Gatsby,0,1,0,0,1,1,0,1,0,F. Scott Fitzgerald,1925,3.89,https://images.gr-assets.com/books/1490528560m/4671.jpg
3590,The Adventures of Sherlock Holmes,0,1,0,0,1,1,1,0,0,Arthur Conan Doyle,1892,4.29,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1164045516l/3590.jpg
3750,"Moonraker (James Bond, #3)",0,0,0,1,1,1,1,0,0,Ian Fleming,1955,3.7,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388215989l/3750.jpg
3757,"Doctor No (James Bond, #6)",0,0,0,1,1,1,1,0,0,Ian Fleming,1958,3.76,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1428348040l/3757.jpg
3758,"Casino Royale (James Bond, #1)",0,0,0,1,1,1,1,0,0,Ian Fleming,1953,3.73,https://images.gr-assets.com/books/1497801490m/3758.jpg
3759,"Goldfinger (James Bond, #7)",0,0,0,1,1,1,1,0,0,Ian Fleming,1959,3.8,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1433975399l/3759._SY475_.jpg
3760,"Diamonds Are Forever (James Bond, #4)",0,0,0,1,1,1,1,0,0,Ian Fleming,1956,3.59,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1440633220l/3760._SY475_.jpg
3762,"On Her Majesty's Secret Service (James Bond, #11)",0,0,0,1,1,1,1,0,0,Ian Fleming,1963,3.94,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1433986746l/3762._SY475_.jpg
3763,"Live and Let Die (James Bond, #2)",0,0,0,1,1,1,1,0,0,Ian Fleming,1954,3.62,https://images.gr-assets.com/books/1327953982m/3763.jpg
3764,"From Russia With Love (James Bond, #5)",0,0,0,1,1,1,1,0,0,Ian Fleming,1957,3.88,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1440169210l/3764._SY475_.jpg
3869,A Brief History of Time,0,0,1,0,0,1,0,0,0,Stephen Hawking,1987,4.12,https://images.gr-assets.com/books/1333578746m/3869.jpg
